energy,stress,motivation,hour_of_day,persona,focus_readiness
5,4,2,2,Early Bird,58.53638898335656
8,6,5,0,Early Bird,61.14076821896766
5,6,2,14,Early Bird,18.588826106924802
3,6,4,8,Early Bird,85.79716354643607
10,2,7,18,Early Bird,61.68959521040193
9,5,8,5,Early Bird,56.550792955094245
3,3,5,18,Early Bird,55.80075131120082
8,10,8,17,Early Bird,24.022088044270703
1,4,4,9,Early Bird,72.5643591890036
9,3,2,16,Early Bird,25.498998443698596
9,2,6,0,Early Bird,58.40899555467097
7,3,7,3,Early Bird,58.079216925380365
8,6,2,18,Early Bird,56.504098312634646
8,10,7,9,Early Bird,90.74643307294863
7,3,4,6,Early Bird,51.369019813646744
8,2,9,22,Early Bird,58.20511469790298
6,9,4,10,Early Bird,81.7605998232629
5,9,1,19,Early Bird,55.07971685032554
10,6,8,8,Early Bird,94.19902162947264
10,4,1,13,Early Bird,62.287328984494835
1,7,10,8,Early Bird,71.17525851848885
9,3,6,22,Early Bird,60.50557757118658
2,8,7,3,Early Bird,50.0092928259618
2,8,5,5,Early Bird,51.90783535418577
10,1,8,3,Early Bird,57.94286466853302
9,1,2,13,Early Bird,58.144907455175414
1,4,8,14,Early Bird,22.42607650460596
10,5,9,10,Early Bird,97.99179786109374
6,6,8,21,Early Bird,54.355736298476245
5,2,4,13,Early Bird,57.81794031654541
10,4,2,6,Early Bird,59.612817190314274
10,10,2,16,Early Bird,23.27775226873819
1,1,1,5,Early Bird,50.15662354533574
9,10,1,4,Early Bird,59.06125150163876
1,8,1,14,Early Bird,16.102978427973714
8,1,5,23,Early Bird,54.26569937749245
10,3,1,18,Early Bird,59.92054911513351
2,2,9,23,Early Bird,47.70856130683758
1,1,4,17,Early Bird,23.20278770275163
3,9,2,3,Early Bird,49.715843381248646
10,1,7,19,Early Bird,59.080298865363005
6,8,6,15,Early Bird,20.810391240612223
8,9,6,11,Early Bird,96.92319023344008
1,9,3,21,Early Bird,53.0927609110176
9,3,5,13,Early Bird,56.49172498934112
5,10,7,3,Early Bird,57.547427817796574
4,4,6,21,Early Bird,50.17644267807789
7,1,3,8,Early Bird,93.58847254066583
3,5,1,2,Early Bird,56.12555183095929
4,5,10,3,Early Bird,51.117331093301885
10,6,7,23,Early Bird,61.591107182727576
1,4,5,1,Early Bird,44.087364192168096
9,2,10,11,Early Bird,91.91697233024229
8,10,9,16,Early Bird,24.15963659131062
4,3,7,8,Early Bird,80.53741993951128
3,6,8,21,Early Bird,53.10115716470316
2,2,1,13,Early Bird,52.80578074313289
1,7,5,10,Early Bird,76.21165111414815
10,6,1,8,Early Bird,95.66352793618837
2,1,7,21,Early Bird,46.84558752887189
4,4,3,23,Early Bird,50.391590416064
7,9,1,6,Early Bird,52.51947066524057
1,5,3,20,Early Bird,44.628157251898
4,2,4,2,Early Bird,51.328868825219764
5,4,10,20,Early Bird,56.88283363777735
4,3,5,3,Early Bird,59.16724288196835
10,10,8,22,Early Bird,60.598913882125636
2,1,3,20,Early Bird,55.85216873962282
1,3,3,4,Early Bird,50.171016599559664
3,9,1,3,Early Bird,54.00468332525688
4,1,2,0,Early Bird,51.31201244049064
6,3,7,20,Early Bird,54.05543255879797
5,5,10,8,Early Bird,86.52737798515031
10,3,6,23,Early Bird,57.262264421243316
7,3,1,19,Early Bird,56.981394925700776
6,3,1,21,Early Bird,58.13951709574584
1,6,1,11,Early Bird,76.31379492122375
7,3,6,6,Early Bird,60.067344818567776
6,9,1,12,Early Bird,54.39970476014753
4,10,8,9,Early Bird,82.34184009101179
2,4,2,16,Early Bird,21.059105809899393
3,7,1,1,Early Bird,54.5172062974184
3,7,8,21,Early Bird,52.73989659155537
7,2,8,20,Early Bird,58.93767126082768
4,4,2,4,Early Bird,50.70286574533538
1,9,5,5,Early Bird,52.932371303550326
4,7,6,0,Early Bird,54.24596644147416
1,8,4,15,Early Bird,21.26112015847544
4,10,1,9,Early Bird,80.30823521750565
9,3,3,8,Early Bird,93.97441747563037
2,3,2,0,Early Bird,52.334890063729546
2,8,9,12,Early Bird,47.088157781789214
5,3,9,14,Early Bird,20.936593812620846
6,1,5,6,Early Bird,57.47768653357626
5,9,9,0,Early Bird,53.624017098473
2,3,4,9,Early Bird,74.27378594253486
4,4,3,22,Early Bird,53.258646618997076
3,2,10,23,Early Bird,51.663049090910015
5,9,1,12,Early Bird,61.16145607025979
4,6,10,23,Early Bird,54.23655541205152
7,1,7,11,Early Bird,88.14774004115225
8,8,9,5,Early Bird,56.66479821761321
4,4,8,13,Early Bird,54.766877356649154
1,10,4,10,Early Bird,77.71957323754789
3,5,6,8,Early Bird,82.45892998005067
9,9,1,11,Early Bird,90.50813525836607
2,1,1,11,Early Bird,84.28638298923727
6,9,7,4,Early Bird,57.61330457110545
2,1,3,21,Early Bird,52.91916844622024
8,3,10,4,Early Bird,55.28719180581092
2,5,1,14,Early Bird,19.363535536681454
2,9,7,15,Early Bird,22.260801631438795
9,7,5,15,Early Bird,25.398955770190238
9,6,6,15,Early Bird,18.7771645791296
1,5,9,12,Early Bird,49.35480258267501
8,8,5,11,Early Bird,92.43700943017828
9,6,2,23,Early Bird,56.41607126090867
9,9,2,17,Early Bird,25.067527215696128
1,8,2,13,Early Bird,48.140882525357135
3,5,3,22,Early Bird,53.48706368244943
10,9,9,1,Early Bird,56.8280321915637
7,5,6,16,Early Bird,19.219520269655973
9,4,2,23,Early Bird,59.208011485146045
2,5,6,10,Early Bird,80.76590637938882
1,4,5,12,Early Bird,53.18503563920863
9,7,7,23,Early Bird,57.53568658833996
9,6,9,18,Early Bird,61.490403198135816
5,2,10,15,Early Bird,26.876056929638228
8,2,8,3,Early Bird,56.59841960717371
10,10,1,4,Early Bird,60.14798449738453
3,8,3,6,Early Bird,55.16734095566294
2,1,6,7,Early Bird,77.97607046137045
4,1,9,10,Early Bird,84.60363084036857
3,10,4,0,Early Bird,55.216469850351096
8,4,7,19,Early Bird,61.840996911615186
3,6,4,18,Early Bird,50.957391871706704
6,10,5,22,Early Bird,50.365463001404486
6,10,2,12,Early Bird,54.49797079551345
3,1,8,21,Early Bird,53.47145561237284
2,8,6,15,Early Bird,26.059090433225762
3,8,6,3,Early Bird,51.08772826135782
8,9,10,1,Early Bird,58.69912885458845
5,10,3,7,Early Bird,82.8458056491452
8,5,8,23,Early Bird,56.21217790804728
2,10,1,3,Early Bird,51.782244368793144
9,9,4,8,Early Bird,93.14898100144974
10,6,9,17,Early Bird,27.990104122718563
6,2,4,15,Early Bird,20.714525985023453
7,9,7,16,Early Bird,24.13110134062266
2,6,7,18,Early Bird,52.90588270051529
6,6,1,15,Early Bird,21.357777431699382
5,10,3,22,Early Bird,57.107652693154535
3,10,2,5,Early Bird,57.028010328237805
8,4,9,11,Early Bird,84.58265762670744
6,5,1,18,Early Bird,55.56218769166009
1,4,10,2,Early Bird,48.04548681575288
1,8,5,8,Early Bird,78.70544231541881
10,5,5,17,Early Bird,24.52438692275063
8,5,2,0,Early Bird,55.245942815083104
7,2,1,1,Early Bird,61.73831367508458
5,3,3,10,Early Bird,83.16472108148625
9,4,9,15,Early Bird,23.35553175552772
4,6,6,20,Early Bird,50.038519669784904
1,3,5,21,Early Bird,48.20734426889042
9,3,10,12,Early Bird,63.582288160640545
3,2,8,14,Early Bird,20.13246537850914
6,2,7,12,Early Bird,57.724761547414396
4,9,10,8,Early Bird,85.0224168050234
3,5,2,9,Early Bird,79.49819098601004
7,8,9,10,Early Bird,84.57376579671794
10,2,2,3,Early Bird,63.06753838108805
9,7,2,7,Early Bird,95.18235406131815
8,3,1,1,Early Bird,60.42172716332059
2,4,6,3,Early Bird,47.9175226560919
10,10,1,23,Early Bird,54.58809630175649
3,6,3,15,Early Bird,23.178697978601882
5,1,9,22,Early Bird,54.561586913401676
3,4,6,2,Early Bird,54.40026561451574
9,5,4,2,Early Bird,61.370046226934534
10,1,3,18,Early Bird,62.48797131774859
1,3,8,15,Early Bird,18.605045426459068
9,7,7,14,Early Bird,26.239600517034635
3,1,7,0,Early Bird,56.14305218332519
1,9,10,22,Early Bird,57.53862791992733
6,1,7,11,Early Bird,85.76244739993194
6,4,7,18,Early Bird,59.09365140121507
2,5,8,0,Early Bird,47.691130905150786
4,4,5,22,Early Bird,48.91723231201477
6,1,7,18,Early Bird,59.01981962309788
6,8,7,15,Early Bird,25.276832959276014
1,1,1,23,Early Bird,51.80009936850622
10,7,3,1,Early Bird,58.198842921386685
3,6,2,6,Early Bird,53.41896106869605
10,7,4,23,Early Bird,59.72409460139086
5,7,10,18,Early Bird,51.7542568938606
10,5,3,20,Early Bird,56.37240386628118
9,9,5,8,Early Bird,93.17022504989046
10,6,5,2,Early Bird,56.87940386713358
4,10,3,21,Early Bird,56.09644701084143
8,9,6,20,Early Bird,55.21259097847073
9,2,2,2,Early Bird,55.59793944219513
3,4,7,17,Early Bird,22.420095120978306
10,1,10,23,Early Bird,58.34784963564427
9,7,8,19,Early Bird,56.56841411053512
8,2,9,13,Early Bird,60.570926610948355
4,1,4,2,Early Bird,46.59442595962498
8,2,6,21,Early Bird,59.664252263305734
10,5,10,9,Early Bird,92.6446827835811
10,9,4,18,Early Bird,56.397347137821555
2,5,4,7,Early Bird,74.3254047107494
9,9,5,13,Early Bird,63.25678701253621
3,2,8,14,Early Bird,21.93724885861061
7,1,1,17,Early Bird,27.5734647253486
10,3,1,4,Early Bird,59.56902141030864
1,3,6,7,Early Bird,76.50475830499086
4,5,9,21,Early Bird,60.271589705914835
4,4,5,4,Early Bird,56.46669654611802
8,9,2,6,Early Bird,56.201009036923004
10,7,2,10,Early Bird,89.10790352608727
2,1,10,1,Early Bird,54.723997468547374
6,10,2,14,Early Bird,24.519262324991093
10,10,9,22,Early Bird,63.7080783262011
2,4,9,15,Early Bird,19.150040634079584
4,3,1,22,Early Bird,60.29619706215128
6,10,8,2,Early Bird,51.84377182454561
4,10,1,19,Early Bird,52.45448730272395
4,7,10,18,Early Bird,53.620443309138146
9,10,4,1,Early Bird,63.434419141701596
10,6,10,16,Early Bird,28.03971366230496
6,4,3,1,Early Bird,53.2915732191116
6,9,2,22,Early Bird,58.427794094725954
5,5,7,8,Early Bird,84.88262609933994
10,9,4,18,Early Bird,59.65833242169893
2,9,2,5,Early Bird,51.75323890098564
6,5,4,8,Early Bird,87.91935258889002
6,10,10,9,Early Bird,85.63959467806096
1,5,10,5,Early Bird,50.71482118353948
8,9,3,17,Early Bird,25.717155696923708
4,6,5,18,Early Bird,51.41829063173231
2,9,1,8,Early Bird,83.59901185218082
10,8,3,22,Early Bird,63.63821254278729
7,9,6,0,Early Bird,59.352439249060495
5,8,9,14,Early Bird,19.805918321026624
7,9,3,20,Early Bird,52.67255122322116
10,10,6,16,Early Bird,25.345004583557373
2,5,2,16,Early Bird,24.737125992508986
8,6,3,0,Early Bird,55.835708607839145
2,5,10,4,Early Bird,50.93376582767718
1,9,2,6,Early Bird,55.461843075669684
10,4,7,23,Early Bird,57.6339104723722
10,3,10,14,Early Bird,29.120217827050762
5,10,10,21,Early Bird,53.50382109977853
1,10,3,9,Early Bird,74.99023806668455
6,6,4,14,Early Bird,23.840372007258907
5,5,4,21,Early Bird,49.135957013203736
2,3,1,17,Early Bird,15.766305144305893
5,3,5,4,Early Bird,52.23504064066521
5,3,3,19,Early Bird,56.807336238728226
2,10,4,3,Early Bird,53.73482739473066
1,10,8,16,Early Bird,20.647974510098678
5,8,10,11,Early Bird,85.62599044974975
3,10,7,11,Early Bird,84.9162072787955
7,4,6,13,Early Bird,52.26148374873818
7,10,9,3,Early Bird,57.20505133095939
1,9,1,1,Early Bird,56.101287889377275
8,9,7,15,Early Bird,26.526744704279352
3,10,10,12,Early Bird,54.814927536589025
5,10,4,17,Early Bird,22.079437105981075
5,10,3,7,Early Bird,85.29423376139918
6,2,2,8,Early Bird,86.94824492140727
6,5,1,11,Early Bird,85.7938356433979
6,6,3,18,Early Bird,58.233073364618825
7,10,2,12,Early Bird,58.96439039595295
10,2,3,22,Early Bird,57.893233653154915
10,4,7,23,Early Bird,59.40705514919956
8,9,5,20,Early Bird,57.580603242967754
5,4,8,6,Early Bird,55.364737001618145
6,5,5,12,Early Bird,50.02019284814244
4,8,8,10,Early Bird,86.90196825863227
1,2,5,10,Early Bird,78.8542640486223
2,5,4,8,Early Bird,80.15258647630918
10,1,6,18,Early Bird,60.761211890324496
6,9,9,23,Early Bird,50.62077080626283
9,4,6,4,Early Bird,63.782533868612035
6,9,1,13,Early Bird,56.31061446184753
7,6,3,0,Early Bird,62.84331023680875
9,2,3,17,Early Bird,23.760763762686643
2,10,8,2,Early Bird,50.63208634605837
8,3,7,11,Early Bird,88.08585616883781
1,6,9,11,Early Bird,77.61324311450424
6,8,3,18,Early Bird,53.62948960742455
4,3,9,15,Early Bird,24.170044656592015
8,5,5,21,Early Bird,62.936145498121405
10,7,10,13,Early Bird,55.683839696829395
7,5,5,17,Early Bird,22.82421207252594
7,6,1,3,Early Bird,53.729294759442745
4,8,9,2,Early Bird,53.57325471408064
5,4,10,14,Early Bird,26.695537066355136
8,3,5,12,Early Bird,56.80179989151836
1,6,5,7,Early Bird,76.93739221081336
3,4,4,14,Early Bird,16.26878089115011
5,9,9,9,Early Bird,86.65871568579844
8,1,2,6,Early Bird,55.19022398126907
8,1,3,22,Early Bird,55.59672047331296
8,1,8,22,Early Bird,59.90039737119586
8,1,6,22,Early Bird,59.323943068183816
5,7,3,5,Early Bird,55.405156478372895
7,1,2,15,Early Bird,19.739481962884714
8,10,6,0,Early Bird,57.35513548576315
10,5,7,14,Early Bird,24.316920352453778
9,8,4,12,Early Bird,51.61558365927428
5,7,8,4,Early Bird,53.784721252789176
2,4,8,20,Early Bird,54.102080958429845
1,7,1,8,Early Bird,77.47109407077944
6,10,6,5,Early Bird,59.21254624270473
1,5,6,23,Early Bird,48.3851934055281
2,8,7,9,Early Bird,77.23670228508652
7,5,9,20,Early Bird,56.75811357465057
5,3,7,20,Early Bird,57.398834878168735
5,6,7,9,Early Bird,84.8618157876266
4,5,5,7,Early Bird,81.81936104038044
9,7,5,2,Early Bird,63.302929008056225
9,10,4,20,Early Bird,59.85426378015671
4,2,1,23,Early Bird,53.31979856991752
8,8,7,3,Early Bird,58.57889755680606
6,4,7,11,Early Bird,86.6522701594504
1,5,10,11,Early Bird,78.12134520209648
10,4,7,8,Early Bird,97.4351167148398
7,5,10,3,Early Bird,57.99575534312366
5,5,9,15,Early Bird,18.68955377218743
2,3,2,20,Early Bird,51.34388092597433
6,5,2,11,Early Bird,85.48143281674399
10,2,3,2,Early Bird,59.46145627538256
9,4,1,16,Early Bird,27.711738402734834
9,9,5,14,Early Bird,24.24486698288593
3,3,3,5,Early Bird,55.459219151774285
5,1,9,16,Early Bird,21.91358206924208
6,1,3,14,Early Bird,27.951718889698544
7,10,8,11,Early Bird,87.11236355141168
9,6,9,23,Early Bird,61.61645931705216
7,5,5,0,Early Bird,57.9721093281196
2,10,3,13,Early Bird,52.031908805046044
3,2,4,1,Early Bird,48.99199132269521
9,10,7,7,Early Bird,96.35454905145212
6,1,6,12,Early Bird,59.59592782698639
3,3,3,9,Early Bird,84.03453147429705
10,8,5,3,Early Bird,60.03821371989285
9,9,1,1,Early Bird,60.3777003329315
1,10,5,10,Early Bird,76.3743715385634
3,10,2,1,Early Bird,50.10926589834359
4,7,10,15,Early Bird,13.85758966446858
10,2,3,18,Early Bird,58.60136765341821
4,3,8,13,Early Bird,53.735245611806135
10,3,6,14,Early Bird,24.722350443731376
3,10,10,14,Early Bird,21.58996878643256
4,7,2,2,Early Bird,53.48146297555767
10,3,1,18,Early Bird,58.69270650908814
5,7,4,12,Early Bird,53.54513671960521
1,6,2,18,Early Bird,52.38455413913434
4,6,6,22,Early Bird,52.09132886204421
10,8,1,11,Early Bird,93.30481857934642
2,10,6,16,Early Bird,19.207526952889538
8,4,3,16,Early Bird,23.49202019449812
9,10,6,5,Early Bird,56.63729639082171
5,6,8,4,Early Bird,52.38467577709221
2,2,10,15,Early Bird,23.84744748502453
8,7,1,11,Early Bird,90.46282367184656
5,9,4,16,Early Bird,25.967783405643857
1,3,9,16,Early Bird,23.656320467423907
4,8,8,10,Early Bird,84.6530511806789
8,4,8,8,Early Bird,88.79955379996517
7,2,9,10,Early Bird,89.54088464151033
3,7,2,18,Early Bird,50.555395553271964
9,4,4,2,Early Bird,61.29183003422601
3,2,5,21,Early Bird,52.897631727626134
1,6,10,2,Early Bird,48.83936393697963
9,6,7,14,Early Bird,21.123035096598244
5,9,4,10,Early Bird,86.71637715282517
5,9,1,14,Early Bird,24.2877940411175
5,7,6,21,Early Bird,56.77760115876173
5,10,5,8,Early Bird,84.64828123169193
8,10,4,19,Early Bird,61.20637696418288
3,8,7,20,Early Bird,49.14200088045052
10,3,5,2,Early Bird,62.143592073156505
1,6,10,19,Early Bird,51.91081281385116
4,8,2,19,Early Bird,50.76027047741758
3,8,6,11,Early Bird,81.05873028627052
7,2,6,13,Early Bird,54.509599768258624
5,9,8,1,Early Bird,57.888136288191355
7,7,1,0,Early Bird,59.03356192452309
4,7,3,6,Early Bird,58.93898762308637
8,6,6,15,Early Bird,23.273068998039076
6,8,1,20,Early Bird,52.829994221356664
3,8,6,17,Early Bird,29.500715666960026
5,1,9,19,Early Bird,55.291467361258746
2,4,9,1,Early Bird,52.58523077626781
9,5,10,4,Early Bird,60.612436113819285
1,6,7,16,Early Bird,19.938899113375836
8,7,5,18,Early Bird,63.86413359178386
9,7,10,7,Early Bird,94.74028120559925
5,8,3,22,Early Bird,56.52415299530363
2,3,2,4,Early Bird,52.35520707900166
10,1,10,0,Early Bird,62.4604949820948
1,10,8,5,Early Bird,50.67175048424697
4,8,4,1,Early Bird,51.97458748631941
8,7,4,8,Early Bird,89.0143068514396
1,7,5,22,Early Bird,51.01259813198769
9,2,4,19,Early Bird,60.52204898264111
8,9,6,17,Early Bird,17.404317781928967
2,7,8,23,Early Bird,51.07280128978522
8,1,9,11,Early Bird,92.21447022642481
1,3,9,4,Early Bird,51.09706965848006
1,10,7,13,Early Bird,57.52827963070789
6,9,7,10,Early Bird,82.90768201854493
2,6,6,17,Early Bird,19.404366749132013
4,8,8,7,Early Bird,78.2857400049851
4,9,3,13,Early Bird,51.20288627045404
6,7,8,12,Early Bird,57.05850092945786
10,4,1,15,Early Bird,26.368364976257165
7,8,2,6,Early Bird,58.321045051151756
2,10,6,4,Early Bird,52.96307992674263
2,10,7,21,Early Bird,52.42897190442765
9,10,5,16,Early Bird,19.3219681439997
5,9,7,15,Early Bird,20.36609031915156
1,4,1,21,Early Bird,51.351372648449555
4,1,9,11,Early Bird,86.61745526214813
7,8,9,23,Early Bird,54.18961429512185
10,3,2,20,Early Bird,55.46463856209319
3,4,7,15,Early Bird,23.10491201709131
5,5,1,7,Early Bird,85.15917793879785
1,9,2,5,Early Bird,53.59586926840575
1,1,9,19,Early Bird,57.11498695389249
1,6,6,0,Early Bird,49.40009700100241
3,7,10,18,Early Bird,52.213368709896585
4,4,3,9,Early Bird,83.59899787931866
9,2,4,23,Early Bird,53.39029195125076
10,10,6,18,Early Bird,57.248391959605094
9,4,10,12,Early Bird,63.008079444097966
6,10,1,7,Early Bird,81.3753282081368
5,6,2,1,Early Bird,60.35770013969944
6,10,5,3,Early Bird,53.2868838541912
10,2,8,9,Early Bird,92.96685376284218
6,8,7,14,Early Bird,21.99351512291497
1,5,2,5,Early Bird,47.957478168518186
3,7,5,23,Early Bird,56.14328109272414
8,7,6,1,Early Bird,58.92529260156683
9,2,1,4,Early Bird,58.518652829569035
6,3,8,6,Early Bird,56.57608620034763
1,9,7,5,Early Bird,56.41068401895192
2,3,1,14,Early Bird,18.436519611785837
6,5,3,20,Early Bird,54.790802395889834
8,2,5,21,Early Bird,60.92601454331311
5,9,4,22,Early Bird,55.79377187374425
6,4,2,23,Early Bird,52.31983226834435
7,10,7,5,Early Bird,57.24426739747357
2,8,1,12,Early Bird,50.29790858317868
7,2,7,14,Early Bird,25.410010461087495
3,1,8,11,Early Bird,87.26323795762544
1,6,10,15,Early Bird,19.22101955539522
10,8,7,19,Early Bird,60.69000835891677
7,4,10,13,Early Bird,52.088255442106004
1,10,7,17,Early Bird,18.802739011079595
8,10,10,9,Early Bird,94.55275915574099
5,10,2,20,Early Bird,53.225815810485855
9,5,2,1,Early Bird,63.665595602442025
7,1,10,11,Early Bird,92.36078876165169
4,10,5,16,Early Bird,23.418256425397686
5,2,9,5,Early Bird,58.785901347989096
8,1,3,9,Early Bird,92.94000623974999
1,8,1,12,Early Bird,48.00927911900883
5,8,1,4,Early Bird,52.20141066461922
4,3,5,14,Early Bird,22.87564007834895
3,1,9,8,Early Bird,85.13282234152291
6,10,1,23,Early Bird,59.17017473384126
3,5,9,12,Early Bird,55.90042131275163
1,9,4,3,Early Bird,54.57430493315832
9,6,8,11,Early Bird,93.5686435682426
4,3,1,9,Early Bird,82.75073201677046
8,3,1,20,Early Bird,59.94664577771152
2,3,6,18,Early Bird,47.97206050926874
10,9,1,12,Early Bird,58.057494808848354
3,3,6,23,Early Bird,48.20220582184166
6,10,3,3,Early Bird,55.078938507161745
1,8,4,21,Early Bird,51.27272726830305
6,9,9,9,Early Bird,77.84408481797597
3,3,4,22,Early Bird,58.05978840806657
8,6,4,10,Early Bird,90.00949099617718
5,2,6,2,Early Bird,51.579370946433
2,5,5,13,Early Bird,52.127955659365966
9,8,7,14,Early Bird,27.585830933910135
3,10,4,5,Early Bird,50.768421832631255
3,9,8,5,Early Bird,55.48591813827463
3,10,8,15,Early Bird,19.261180935106687
1,3,5,4,Early Bird,49.64923983666519
10,8,5,6,Early Bird,57.73198794163019
7,5,8,8,Early Bird,89.11090256164732
1,4,6,15,Early Bird,20.865275830928287
4,6,5,15,Early Bird,23.27884354203882
4,8,10,3,Early Bird,57.03445555672862
2,2,1,20,Early Bird,57.80574220912938
5,6,6,2,Early Bird,53.09812042392587
4,1,4,0,Early Bird,57.63210375944255
8,8,5,1,Early Bird,57.94818028585548
6,1,7,10,Early Bird,84.46300112185254
1,9,10,19,Early Bird,47.1495717880964
8,5,8,16,Early Bird,23.54381015501625
4,2,6,15,Early Bird,23.416265051891898
2,5,2,2,Early Bird,49.72098094674234
6,8,1,10,Early Bird,88.99093904109853
9,5,5,20,Early Bird,64.0021556538278
4,8,9,8,Early Bird,85.31136857428189
8,3,10,15,Early Bird,25.123323673355497
3,10,8,22,Early Bird,55.70362034147692
1,10,5,8,Early Bird,76.05175111663108
8,10,1,9,Early Bird,91.94301604939429
7,3,9,5,Early Bird,56.52854326167337
3,2,2,13,Early Bird,53.219294231634954
5,10,7,7,Early Bird,84.88478699299274
3,2,4,16,Early Bird,26.09444869256488
3,9,7,6,Early Bird,54.890538777095344
4,7,8,15,Early Bird,15.274310935675514
3,10,2,6,Early Bird,53.40376692781334
7,9,8,21,Early Bird,54.83334369315018
7,9,6,16,Early Bird,23.732751163403712
3,10,3,2,Early Bird,49.74419618064335
1,10,1,21,Early Bird,50.14528570013541
4,5,7,5,Early Bird,52.29821485602726
9,6,9,19,Early Bird,57.64701794891207
3,2,6,5,Early Bird,53.88184816382949
7,5,8,6,Early Bird,52.44297082401413
9,5,5,15,Early Bird,28.740648214021768
10,4,2,4,Early Bird,58.62592445095633
9,9,6,16,Early Bird,25.926004776282475
6,5,4,15,Early Bird,22.260738239496593
6,2,7,19,Early Bird,55.29431001820613
9,10,2,20,Early Bird,60.17632065049826
8,8,6,21,Early Bird,56.596971904511115
8,10,9,20,Early Bird,58.66463567170318
4,1,4,3,Early Bird,52.257599719532244
10,4,1,8,Early Bird,97.98213331315397
5,7,6,4,Early Bird,57.90119670988265
8,1,7,5,Early Bird,63.19180407260416
7,3,1,8,Early Bird,92.34938652907948
2,10,3,23,Early Bird,50.700157575702335
1,7,4,15,Early Bird,21.335390358826412
5,8,4,19,Early Bird,54.62892043146465
6,5,1,6,Early Bird,54.881773267913935
6,2,7,21,Early Bird,56.261724313461826
2,6,1,4,Early Bird,47.519707791895826
6,7,2,0,Early Bird,53.59899378150409
2,1,1,10,Early Bird,77.50303823206266
4,10,2,16,Early Bird,19.882994992822358
7,6,5,12,Early Bird,54.5666780092536
2,5,9,1,Early Bird,55.04781167069067
1,3,9,13,Early Bird,49.78986076209395
9,7,3,18,Early Bird,56.9624015647029
2,5,7,22,Early Bird,49.18597772790475
6,10,10,11,Early Bird,91.17099955059652
1,10,4,9,Early Bird,80.94766180113835
5,2,5,14,Early Bird,23.349924669565944
5,10,1,3,Early Bird,58.502854239879476
8,1,2,0,Early Bird,57.579150899927896
6,10,2,14,Early Bird,21.424524407905217
1,10,3,20,Early Bird,45.87307136646057
5,2,10,21,Early Bird,52.02059913183891
8,6,4,21,Early Bird,60.120021104331016
2,8,6,15,Early Bird,24.544383736768133
2,1,6,12,Early Bird,56.436792814757666
6,2,7,8,Early Bird,87.30814492371663
5,2,4,18,Early Bird,53.148462561967804
8,1,8,20,Early Bird,56.63486013799774
7,1,2,16,Early Bird,20.38583928666516
10,9,8,6,Early Bird,63.06730779578448
5,3,9,12,Early Bird,58.38612016255096
3,6,1,3,Early Bird,46.89531354965149
8,3,5,1,Early Bird,58.91699670592779
7,10,3,4,Early Bird,54.80623629356113
3,6,10,18,Early Bird,54.7299074210107
8,1,8,9,Early Bird,92.79728491067581
2,7,6,1,Early Bird,55.292289494249744
1,7,5,4,Early Bird,53.008314040179684
7,1,8,11,Early Bird,86.59066749814005
5,8,10,14,Early Bird,20.30442807475234
10,5,7,2,Early Bird,60.74006631100817
10,4,3,8,Early Bird,98.89752974260891
8,6,1,13,Early Bird,57.63067040940721
1,6,3,18,Early Bird,49.13784563087221
6,3,10,21,Early Bird,60.30671297949087
7,4,2,22,Early Bird,51.51478235747411
1,4,9,13,Early Bird,51.65629421035431
10,10,2,13,Early Bird,63.89174760055816
3,1,10,23,Early Bird,52.80983044389557
2,5,10,2,Early Bird,53.44837037218095
3,8,4,3,Early Bird,52.28623901467086
1,7,5,19,Early Bird,48.22504068402609
4,8,6,15,Early Bird,21.987781488635694
10,8,2,21,Early Bird,59.87622104204982
9,1,6,7,Early Bird,92.79052552870318
6,5,3,3,Early Bird,52.47787262113552
7,4,9,10,Early Bird,87.8311963056382
10,2,5,7,Early Bird,95.93226029518316
5,10,8,7,Early Bird,83.31761659228007
4,3,5,5,Early Bird,52.415816660922786
3,2,7,10,Early Bird,77.60578316959489
10,6,9,6,Early Bird,62.6621470924234
5,2,4,1,Early Bird,59.72762742850591
4,6,3,9,Early Bird,82.85660224884563
1,1,9,20,Early Bird,50.257992108310745
7,6,5,19,Early Bird,57.99969160497007
7,3,8,17,Early Bird,21.819627792800215
5,8,3,6,Early Bird,57.371180615916906
2,8,7,20,Early Bird,49.29182663626407
5,9,10,19,Early Bird,54.382354593868385
9,2,4,8,Early Bird,91.7875285215621
9,4,2,12,Early Bird,59.005384618634324
9,4,6,0,Early Bird,58.42151721252581
3,4,1,13,Early Bird,54.45505017448048
9,8,4,17,Early Bird,26.42512773557398
10,3,7,6,Early Bird,65.65200341270958
10,4,2,10,Early Bird,97.47110389213134
2,8,10,4,Early Bird,48.318231974005876
7,7,9,2,Early Bird,51.64335810335446
10,5,6,15,Early Bird,25.040720978152613
3,4,3,17,Early Bird,15.830093603262956
1,2,8,14,Early Bird,24.662057086035183
7,1,5,9,Early Bird,90.25188719273751
9,6,3,14,Early Bird,23.007989379872594
10,4,10,20,Early Bird,63.14328372416226
5,1,9,22,Early Bird,56.957719376363634
3,9,2,6,Early Bird,53.187577167034426
7,6,5,13,Early Bird,59.7491725321235
2,8,7,5,Early Bird,46.95998576341046
9,6,4,6,Early Bird,55.23702632285601
9,5,5,7,Early Bird,90.88890736141397
9,3,6,21,Early Bird,60.922851825000194
